faa,name,lat,lon,,,,,,
JNU,Juneau Intl,58.354972,-134.576278,,''JNU''=''Juneau Intl'',,"""","JNU""= ""Juneau Intl ""","""JNU""= ""Juneau Intl """
JOT,Regional Airport,41.517778,-88.175556,,''JOT''=''Regional Airport'',,"""","JOT""= ""Regional Airport ""","""JOT""= ""Regional Airport """
JRA,West 30th St. Heliport,40.7545,-74.0071,,''JRA''=''West 30th St. Heliport'',,"""","JRA""= ""West 30th St. Heliport ""","""JRA""= ""West 30th St. Heliport """
JRB,Wall Street Heliport,40.701214,-74.009028,,''JRB''=''Wall Street Heliport'',,"""","JRB""= ""Wall Street Heliport ""","""JRB""= ""Wall Street Heliport """
JST,John Murtha Johnstown-Cambria County Airport,40.316111,-78.833889,,''JST''=''John Murtha Johnstown-Cambria County Airport'',,"""","JST""= ""John Murtha Johnstown-Cambria County Airport ""","""JST""= ""John Murtha Johnstown-Cambria County Airport """
JVL,Southern Wisconsin Regional Airport,42.62025,-89.0415556,,''JVL''=''Southern Wisconsin Regional Airport'',,"""","JVL""= ""Southern Wisconsin Regional Airport ""","""JVL""= ""Southern Wisconsin Regional Airport """
JXN,Reynolds Field,42.260556,-84.460556,,''JXN''=''Reynolds Field'',,"""","JXN""= ""Reynolds Field ""","""JXN""= ""Reynolds Field """
JYL,Plantation Airpark,32.6452778,-81.5971111,,''JYL''=''Plantation Airpark'',,"""","JYL""= ""Plantation Airpark ""","""JYL""= ""Plantation Airpark """
JYO,Leesburg Executive Airport,39.078,-77.558,,''JYO''=''Leesburg Executive Airport'',,"""","JYO""= ""Leesburg Executive Airport ""","""JYO""= ""Leesburg Executive Airport """
JZP,Pickens County Airport,34.4534722,-84.4572222,,''JZP''=''Pickens County Airport'',,"""","JZP""= ""Pickens County Airport ""","""JZP""= ""Pickens County Airport """
K03,Wainwright As,70.613378,-159.86035,,''K03''=''Wainwright As'',,"""","K03""= ""Wainwright As ""","""K03""= ""Wainwright As """
KAE,Kake Seaplane Base,56.973056,-133.945556,,''KAE''=''Kake Seaplane Base'',,"""","KAE""= ""Kake Seaplane Base ""","""KAE""= ""Kake Seaplane Base """
KAL,Kaltag Airport,64.3191,-158.741,,''KAL''=''Kaltag Airport'',,"""","KAL""= ""Kaltag Airport ""","""KAL""= ""Kaltag Airport """
KBC,Birch Creek Airport,66.256708,-145.815319,,''KBC''=''Birch Creek Airport'',,"""","KBC""= ""Birch Creek Airport ""","""KBC""= ""Birch Creek Airport """
KBW,Chignik Bay Seaplane Base,56.295556,-158.401398,,''KBW''=''Chignik Bay Seaplane Base'',,"""","KBW""= ""Chignik Bay Seaplane Base ""","""KBW""= ""Chignik Bay Seaplane Base """
KCC,Coffman Cove Seaplane Base,56.014722,-132.833889,,''KCC''=''Coffman Cove Seaplane Base'',,"""","KCC""= ""Coffman Cove Seaplane Base ""","""KCC""= ""Coffman Cove Seaplane Base """
KCL,Chignik Lagoon Airport,56.311111,-158.534167,,''KCL''=''Chignik Lagoon Airport'',,"""","KCL""= ""Chignik Lagoon Airport ""","""KCL""= ""Chignik Lagoon Airport """
KCQ,Chignik Lake Airport,56.255,-158.775278,,''KCQ''=''Chignik Lake Airport'',,"""","KCQ""= ""Chignik Lake Airport ""","""KCQ""= ""Chignik Lake Airport """
KEH,Kenmore Air Harbor Inc Seaplane Base,47.7548,-122.259,,''KEH''=''Kenmore Air Harbor Inc Seaplane Base'',,"""","KEH""= ""Kenmore Air Harbor Inc Seaplane Base ""","""KEH""= ""Kenmore Air Harbor Inc Seaplane Base """
KEK,Ekwok Airport,59.356944,-157.471111,,''KEK''=''Ekwok Airport'',,"""","KEK""= ""Ekwok Airport ""","""KEK""= ""Ekwok Airport """
KFP,False Pass Airport,54.8475,-163.410278,,''KFP''=''False Pass Airport'',,"""","KFP""= ""False Pass Airport ""","""KFP""= ""False Pass Airport """
KGK,Koliganek Airport,59.726667,-157.259444,,''KGK''=''Koliganek Airport'',,"""","KGK""= ""Koliganek Airport ""","""KGK""= ""Koliganek Airport """
KGX,Grayling Airport,62.894444,-160.065,,''KGX''=''Grayling Airport'',,"""","KGX""= ""Grayling Airport ""","""KGX""= ""Grayling Airport """
KKA,Koyuk Alfred Adams Airport,64.939444,-161.154167,,''KKA''=''Koyuk Alfred Adams Airport'',,"""","KKA""= ""Koyuk Alfred Adams Airport ""","""KKA""= ""Koyuk Alfred Adams Airport """
KKB,Kitoi Bay Seaplane Base,58.190833,-152.370556,,''KKB''=''Kitoi Bay Seaplane Base'',,"""","KKB""= ""Kitoi Bay Seaplane Base ""","""KKB""= ""Kitoi Bay Seaplane Base """
KKH,Kongiganak Airport,59.960833,-162.881111,,''KKH''=''Kongiganak Airport'',,"""","KKH""= ""Kongiganak Airport ""","""KKH""= ""Kongiganak Airport """
KLG,Kalskag Airport,61.5363,-160.341,,''KLG''=''Kalskag Airport'',,"""","KLG""= ""Kalskag Airport ""","""KLG""= ""Kalskag Airport """
KLL,Levelock Airport,59.128056,-156.858611,,''KLL''=''Levelock Airport'',,"""","KLL""= ""Levelock Airport ""","""KLL""= ""Levelock Airport """
KLN,Larsen Bay Airport,57.535,-153.976667,,''KLN''=''Larsen Bay Airport'',,"""","KLN""= ""Larsen Bay Airport ""","""KLN""= ""Larsen Bay Airport """
KLS,Kelso Longview,46.118,-122.898389,,''KLS''=''Kelso Longview'',,"""","KLS""= ""Kelso Longview ""","""KLS""= ""Kelso Longview """
KLW,Klawock Airport,55.579167,-133.076111,,''KLW''=''Klawock Airport'',,"""","KLW""= ""Klawock Airport ""","""KLW""= ""Klawock Airport """
KMO,Manokotak Airport,58.990278,-159.05,,''KMO''=''Manokotak Airport'',,"""","KMO""= ""Manokotak Airport ""","""KMO""= ""Manokotak Airport """
KMY,Moser Bay Seaplane Base,57.025556,-154.145833,,''KMY''=''Moser Bay Seaplane Base'',,"""","KMY""= ""Moser Bay Seaplane Base ""","""KMY""= ""Moser Bay Seaplane Base """
KNW,New Stuyahok Airport,59.4499,-157.328,,''KNW''=''New Stuyahok Airport'',,"""","KNW""= ""New Stuyahok Airport ""","""KNW""= ""New Stuyahok Airport """
KOA,Kona Intl At Keahole,19.738767,-156.045631,,''KOA''=''Kona Intl At Keahole'',,"""","KOA""= ""Kona Intl At Keahole ""","""KOA""= ""Kona Intl At Keahole """
KOT,Kotlik Airport,63.030556,-163.532778,,''KOT''=''Kotlik Airport'',,"""","KOT""= ""Kotlik Airport ""","""KOT""= ""Kotlik Airport """
KOY,Olga Bay Seaplane Base,57.161389,-154.229722,,''KOY''=''Olga Bay Seaplane Base'',,"""","KOY""= ""Olga Bay Seaplane Base ""","""KOY""= ""Olga Bay Seaplane Base """
KOZ,Ouzinkie Airport,57.922876,-152.500511,,''KOZ''=''Ouzinkie Airport'',,"""","KOZ""= ""Ouzinkie Airport ""","""KOZ""= ""Ouzinkie Airport """
KPB,Point Baker Seaplane Base,56.351944,-133.6225,,''KPB''=''Point Baker Seaplane Base'',,"""","KPB""= ""Point Baker Seaplane Base ""","""KPB""= ""Point Baker Seaplane Base """
KPC,Port Clarence Coast Guard Station,65.2537,-166.859,,''KPC''=''Port Clarence Coast Guard Station'',,"""","KPC""= ""Port Clarence Coast Guard Station ""","""KPC""= ""Port Clarence Coast Guard Station """
KPN,Kipnuk Airport,59.933056,-164.030556,,''KPN''=''Kipnuk Airport'',,"""","KPN""= ""Kipnuk Airport ""","""KPN""= ""Kipnuk Airport """
KPR,Port Williams Seaplane Base,58.49,-152.582222,,''KPR''=''Port Williams Seaplane Base'',,"""","KPR""= ""Port Williams Seaplane Base ""","""KPR""= ""Port Williams Seaplane Base """
KPV,Perryville Airport,55.906667,-159.160833,,''KPV''=''Perryville Airport'',,"""","KPV""= ""Perryville Airport ""","""KPV""= ""Perryville Airport """
KPY,Port Bailey Seaplane Base,57.93,-153.040556,,''KPY''=''Port Bailey Seaplane Base'',,"""","KPY""= ""Port Bailey Seaplane Base ""","""KPY""= ""Port Bailey Seaplane Base """
KQA,Akutan Seaplane Base,54.1325,-165.785,,''KQA''=''Akutan Seaplane Base'',,"""","KQA""= ""Akutan Seaplane Base ""","""KQA""= ""Akutan Seaplane Base """
KSM,St Marys Airport,62.0605,-163.302,,''KSM''=''St Marys Airport'',,"""","KSM""= ""St Marys Airport ""","""KSM""= ""St Marys Airport """
KTB,Thorne Bay Seaplane Base,55.688056,-132.536667,,''KTB''=''Thorne Bay Seaplane Base'',,"""","KTB""= ""Thorne Bay Seaplane Base ""","""KTB""= ""Thorne Bay Seaplane Base """
KTN,Ketchikan Intl,55.355556,-131.71375,,''KTN''=''Ketchikan Intl'',,"""","KTN""= ""Ketchikan Intl ""","""KTN""= ""Ketchikan Intl """
KTS,Brevig Mission Airport,65.331389,-166.465833,,''KTS''=''Brevig Mission Airport'',,"""","KTS""= ""Brevig Mission Airport ""","""KTS""= ""Brevig Mission Airport """
KUK,Kasigluk Airport,60.873333,-162.524444,,''KUK''=''Kasigluk Airport'',,"""","KUK""= ""Kasigluk Airport ""","""KUK""= ""Kasigluk Airport """
KVC,King Cove Airport,55.1163,-162.266,,''KVC''=''King Cove Airport'',,"""","KVC""= ""King Cove Airport ""","""KVC""= ""King Cove Airport """
KVL,Kivalina Airport,67.7362,-164.563,,''KVL''=''Kivalina Airport'',,"""","KVL""= ""Kivalina Airport ""","""KVL""= ""Kivalina Airport """
KWK,Kwigillingok Airport,59.876389,-163.168611,,''KWK''=''Kwigillingok Airport'',,"""","KWK""= ""Kwigillingok Airport ""","""KWK""= ""Kwigillingok Airport """
KWN,Quinhagak Airport,59.755,-161.845278,,''KWN''=''Quinhagak Airport'',,"""","KWN""= ""Quinhagak Airport ""","""KWN""= ""Quinhagak Airport """
KWP,West Point Village Seaplane Base,57.77,-153.548889,,''KWP''=''West Point Village Seaplane Base'',,"""","KWP""= ""West Point Village Seaplane Base ""","""KWP""= ""West Point Village Seaplane Base """
KWT,Kwethluk Airport,60.790278,-161.443611,,''KWT''=''Kwethluk Airport'',,"""","KWT""= ""Kwethluk Airport ""","""KWT""= ""Kwethluk Airport """
KYK,Karuluk Airport,57.566944,-154.450278,,''KYK''=''Karuluk Airport'',,"""","KYK""= ""Karuluk Airport ""","""KYK""= ""Karuluk Airport """
KYU,Koyukuk Airport,64.875833,-157.730556,,''KYU''=''Koyukuk Airport'',,"""","KYU""= ""Koyukuk Airport ""","""KYU""= ""Koyukuk Airport """
KZB,Zachar Bay Seaplane Base,57.55,-153.75,,''KZB''=''Zachar Bay Seaplane Base'',,"""","KZB""= ""Zachar Bay Seaplane Base ""","""KZB""= ""Zachar Bay Seaplane Base """
L06,Furnace Creek,36.273,-116.515,,''L06''=''Furnace Creek'',,"""","L06""= ""Furnace Creek ""","""L06""= ""Furnace Creek """
L35,Big Bear City,34.2637778,-116.8560278,,''L35''=''Big Bear City'',,"""","L35""= ""Big Bear City ""","""L35""= ""Big Bear City """
LAA,Lamar Muni,38.069694,-102.6885,,''LAA''=''Lamar Muni'',,"""","LAA""= ""Lamar Muni ""","""LAA""= ""Lamar Muni """
LAF,Purude University Airport,40.4123056,-86.9368889,,''LAF''=''Purude University Airport'',,"""","LAF""= ""Purude University Airport ""","""LAF""= ""Purude University Airport """
LAL,Lakeland Linder Regional Airport,27.9889167,-82.0185556,,''LAL''=''Lakeland Linder Regional Airport'',,"""","LAL""= ""Lakeland Linder Regional Airport ""","""LAL""= ""Lakeland Linder Regional Airport """
LAM,Los Alamos Airport,35.8798019,-106.2694153,,''LAM''=''Los Alamos Airport'',,"""","LAM""= ""Los Alamos Airport ""","""LAM""= ""Los Alamos Airport """
LAN,Capital City,42.7787,-84.587357,,''LAN''=''Capital City'',,"""","LAN""= ""Capital City ""","""LAN""= ""Capital City """
LAR,Laramie Regional Airport,41.3121,-105.675,,''LAR''=''Laramie Regional Airport'',,"""","LAR""= ""Laramie Regional Airport ""","""LAR""= ""Laramie Regional Airport """
LAS,Mc Carran Intl,36.080056,-115.15225,,''LAS''=''Mc Carran Intl'',,"""","LAS""= ""Mc Carran Intl ""","""LAS""= ""Mc Carran Intl """
LAW,Lawton-Fort Sill Regional Airport,34.5677144,-98.4166367,,''LAW''=''Lawton-Fort Sill Regional Airport'',,"""","LAW""= ""Lawton-Fort Sill Regional Airport ""","""LAW""= ""Lawton-Fort Sill Regional Airport """
LAX,Los Angeles Intl,33.942536,-118.408075,,''LAX''=''Los Angeles Intl'',,"""","LAX""= ""Los Angeles Intl ""","""LAX""= ""Los Angeles Intl """
LBB,Lubbock Preston Smith Intl,33.663639,-101.822778,,''LBB''=''Lubbock Preston Smith Intl'',,"""","LBB""= ""Lubbock Preston Smith Intl ""","""LBB""= ""Lubbock Preston Smith Intl """
LBE,Arnold Palmer Regional Airport,40.2759,-79.4048,,''LBE''=''Arnold Palmer Regional Airport'',,"""","LBE""= ""Arnold Palmer Regional Airport ""","""LBE""= ""Arnold Palmer Regional Airport """
LBF,North Platte Regional Airport Lee Bird Field,41.1262,-100.684,,''LBF''=''North Platte Regional Airport Lee Bird Field'',,"""","LBF""= ""North Platte Regional Airport Lee Bird Field ""","""LBF""= ""North Platte Regional Airport Lee Bird Field """
LBL,Liberal Muni,37.044222,-100.95986,,''LBL''=''Liberal Muni'',,"""","LBL""= ""Liberal Muni ""","""LBL""= ""Liberal Muni """
LBT,Municipal Airport,34.6098056,-79.0595556,,''LBT''=''Municipal Airport'',,"""","LBT""= ""Municipal Airport ""","""LBT""= ""Municipal Airport """
LCH,Lake Charles Rgnl,30.126112,-93.223335,,''LCH''=''Lake Charles Rgnl'',,"""","LCH""= ""Lake Charles Rgnl ""","""LCH""= ""Lake Charles Rgnl """
LCK,Rickenbacker Intl,39.813786,-82.927822,,''LCK''=''Rickenbacker Intl'',,"""","LCK""= ""Rickenbacker Intl ""","""LCK""= ""Rickenbacker Intl """
LCQ,Lake City Municipal Airport,30.181944,-82.576944,,''LCQ''=''Lake City Municipal Airport'',,"""","LCQ""= ""Lake City Municipal Airport ""","""LCQ""= ""Lake City Municipal Airport """
LDJ,Linden Airport,40.6174472,-74.2445942,,''LDJ''=''Linden Airport'',,"""","LDJ""= ""Linden Airport ""","""LDJ""= ""Linden Airport """
LEB,Lebanon Municipal Airport,43.6261,-72.3042,,''LEB''=''Lebanon Municipal Airport'',,"""","LEB""= ""Lebanon Municipal Airport ""","""LEB""= ""Lebanon Municipal Airport """
LEW,Lewiston Maine,44.0484728,-70.2835075,,''LEW''=''Lewiston Maine'',,"""","LEW""= ""Lewiston Maine ""","""LEW""= ""Lewiston Maine """
LEX,Blue Grass,38.0365,-84.605889,,''LEX''=''Blue Grass'',,"""","LEX""= ""Blue Grass ""","""LEX""= ""Blue Grass """
LFI,Langley Afb,37.082881,-76.360547,,''LFI''=''Langley Afb'',,"""","LFI""= ""Langley Afb ""","""LFI""= ""Langley Afb """
LFK,Angelina Co,31.234014,-94.75,,''LFK''=''Angelina Co'',,"""","LFK""= ""Angelina Co ""","""LFK""= ""Angelina Co """
LFT,Lafayette Rgnl,30.205278,-91.987611,,''LFT''=''Lafayette Rgnl'',,"""","LFT""= ""Lafayette Rgnl ""","""LFT""= ""Lafayette Rgnl """
LGA,La Guardia,40.777245,-73.872608,,''LGA''=''La Guardia'',,"""","LGA""= ""La Guardia ""","""LGA""= ""La Guardia """
LGB,Long Beach,33.817722,-118.151611,,''LGB''=''Long Beach'',,"""","LGB""= ""Long Beach ""","""LGB""= ""Long Beach """
LGC,LaGrange-Callaway Airport,33.0088611,-85.0726111,,''LGC''=''LaGrange-Callaway Airport'',,"""","LGC""= ""LaGrange-Callaway Airport ""","""LGC""= ""LaGrange-Callaway Airport """
LGU,Logan-Cache,41.791,-111.852,,''LGU''=''Logan-Cache'',,"""","LGU""= ""Logan-Cache ""","""LGU""= ""Logan-Cache """
LHD,Lake Hood Seaplane Base,61.1866382,-149.9653918,,''LHD''=''Lake Hood Seaplane Base'',,"""","LHD""= ""Lake Hood Seaplane Base ""","""LHD""= ""Lake Hood Seaplane Base """
LHV,William T. Piper Mem.,41.1357778,-77.4223056,,''LHV''=''William T. Piper Mem.'',,"""","LHV""= ""William T. Piper Mem. ""","""LHV""= ""William T. Piper Mem. """
LHX,La Junta Muni,38.049719,-103.509431,,''LHX''=''La Junta Muni'',,"""","LHX""= ""La Junta Muni ""","""LHX""= ""La Junta Muni """
LIH,Lihue,21.975983,-159.338958,,''LIH''=''Lihue'',,"""","LIH""= ""Lihue ""","""LIH""= ""Lihue """
LIT,Adams Fld,34.729444,-92.224306,,''LIT''=''Adams Fld'',,"""","LIT""= ""Adams Fld ""","""LIT""= ""Adams Fld """
LIV,Livingood Airport,65.531111,-148.541111,,''LIV''=''Livingood Airport'',,"""","LIV""= ""Livingood Airport ""","""LIV""= ""Livingood Airport """
LKE,Kenmore Air Harbor Seaplane Base,47.629,-122.339,,''LKE''=''Kenmore Air Harbor Seaplane Base'',,"""","LKE""= ""Kenmore Air Harbor Seaplane Base ""","""LKE""= ""Kenmore Air Harbor Seaplane Base """
LKP,Lake Placid Airport,44.264444,-73.961944,,''LKP''=''Lake Placid Airport'',,"""","LKP""= ""Lake Placid Airport ""","""LKP""= ""Lake Placid Airport """
LMT,Klamath Falls Airport,42.1561,-121.733,,''LMT''=''Klamath Falls Airport'',,"""","LMT""= ""Klamath Falls Airport ""","""LMT""= ""Klamath Falls Airport """
LNA,Palm Beach Co Park,26.593,-80.085056,,''LNA''=''Palm Beach Co Park'',,"""","LNA""= ""Palm Beach Co Park ""","""LNA""= ""Palm Beach Co Park """
LNK,Lincoln,40.850971,-96.75925,,''LNK''=''Lincoln'',,"""","LNK""= ""Lincoln ""","""LNK""= ""Lincoln """
LNN,Lost Nation Municipal Airport,41.6840278,-81.38975,,''LNN''=''Lost Nation Municipal Airport'',,"""","LNN""= ""Lost Nation Municipal Airport ""","""LNN""= ""Lost Nation Municipal Airport """
LNR,Tri-County Regional Airport,43.211667,-90.181667,,''LNR''=''Tri-County Regional Airport'',,"""","LNR""= ""Tri-County Regional Airport ""","""LNR""= ""Tri-County Regional Airport """
LNS,Lancaster Airport,40.1217,-76.2961,,''LNS''=''Lancaster Airport'',,"""","LNS""= ""Lancaster Airport ""","""LNS""= ""Lancaster Airport """
LNY,Lanai,20.785611,-156.951419,,''LNY''=''Lanai'',,"""","LNY""= ""Lanai ""","""LNY""= ""Lanai """
LOT,Lewis University Airport,41.606326,-88.083003,,''LOT''=''Lewis University Airport'',,"""","LOT""= ""Lewis University Airport ""","""LOT""= ""Lewis University Airport """
LOU,Bowman Fld,38.228,-85.663722,,''LOU''=''Bowman Fld'',,"""","LOU""= ""Bowman Fld ""","""LOU""= ""Bowman Fld """
LOZ,London-Corbin Airport-MaGee Field,37.0868889,-84.0773889,,''LOZ''=''London-Corbin Airport-MaGee Field'',,"""","LOZ""= ""London-Corbin Airport-MaGee Field ""","""LOZ""= ""London-Corbin Airport-MaGee Field """
LPC,Lompoc Airport,34.6656,-120.4675,,''LPC''=''Lompoc Airport'',,"""","LPC""= ""Lompoc Airport ""","""LPC""= ""Lompoc Airport """
LPR,Lorain County Regional Airport,41.3442778,-82.1776389,,''LPR''=''Lorain County Regional Airport'',,"""","LPR""= ""Lorain County Regional Airport ""","""LPR""= ""Lorain County Regional Airport """
LPS,Lopez Island Airport,48.4839,-122.938,,''LPS''=''Lopez Island Airport'',,"""","LPS""= ""Lopez Island Airport ""","""LPS""= ""Lopez Island Airport """
LRD,Laredo Intl,27.54375,-99.461556,,''LRD''=''Laredo Intl'',,"""","LRD""= ""Laredo Intl ""","""LRD""= ""Laredo Intl """
LRF,Little Rock Afb,34.916944,-92.149722,,''LRF''=''Little Rock Afb'',,"""","LRF""= ""Little Rock Afb ""","""LRF""= ""Little Rock Afb """
LRU,Las Cruces Intl,32.289417,-106.921972,,''LRU''=''Las Cruces Intl'',,"""","LRU""= ""Las Cruces Intl ""","""LRU""= ""Las Cruces Intl """
LSE,La Crosse Municipal,43.878986,-91.256711,,''LSE''=''La Crosse Municipal'',,"""","LSE""= ""La Crosse Municipal ""","""LSE""= ""La Crosse Municipal """
LSF,Lawson Aaf,32.337322,-84.991283,,''LSF''=''Lawson Aaf'',,"""","LSF""= ""Lawson Aaf ""","""LSF""= ""Lawson Aaf """
LSV,Nellis Afb,36.236197,-115.034253,,''LSV''=''Nellis Afb'',,"""","LSV""= ""Nellis Afb ""","""LSV""= ""Nellis Afb """
LTS,Altus Afb,34.667067,-99.266681,,''LTS''=''Altus Afb'',,"""","LTS""= ""Altus Afb ""","""LTS""= ""Altus Afb """
LUF,Luke Afb,33.535,-112.38306,,''LUF''=''Luke Afb'',,"""","LUF""= ""Luke Afb ""","""LUF""= ""Luke Afb """
LUK,Cincinnati Muni Lunken Fld,39.103333,-84.418611,,''LUK''=''Cincinnati Muni Lunken Fld'',,"""","LUK""= ""Cincinnati Muni Lunken Fld ""","""LUK""= ""Cincinnati Muni Lunken Fld """
LUP,Kalaupapa Airport,21.211,-156.974,,''LUP''=''Kalaupapa Airport'',,"""","LUP""= ""Kalaupapa Airport ""","""LUP""= ""Kalaupapa Airport """
LUR,Cape Lisburne Lrrs,68.875133,-166.110022,,''LUR''=''Cape Lisburne Lrrs'',,"""","LUR""= ""Cape Lisburne Lrrs ""","""LUR""= ""Cape Lisburne Lrrs """
LVK,Livermore Municipal,37.41362,-121.49133,,''LVK''=''Livermore Municipal'',,"""","LVK""= ""Livermore Municipal ""","""LVK""= ""Livermore Municipal """
LVM,Mission Field Airport,45.6993889,-110.4483056,,''LVM''=''Mission Field Airport'',,"""","LVM""= ""Mission Field Airport ""","""LVM""= ""Mission Field Airport """
LVS,Las Vegas Muni,35.654222,-105.142389,,''LVS''=''Las Vegas Muni'',,"""","LVS""= ""Las Vegas Muni ""","""LVS""= ""Las Vegas Muni """
LWA,South Haven Area Regional Airport,42.3511944,-86.2556389,,''LWA''=''South Haven Area Regional Airport'',,"""","LWA""= ""South Haven Area Regional Airport ""","""LWA""= ""South Haven Area Regional Airport """
LWB,Greenbrier Valley Airport,37.858333,-80.399444,,''LWB''=''Greenbrier Valley Airport'',,"""","LWB""= ""Greenbrier Valley Airport ""","""LWB""= ""Greenbrier Valley Airport """
LWC,Lawrence Municipal,39.009167,-95.2175,,''LWC''=''Lawrence Municipal'',,"""","LWC""= ""Lawrence Municipal ""","""LWC""= ""Lawrence Municipal """
LWM,Lawrence Municipal Airport,42.7171944,-71.1234167,,''LWM''=''Lawrence Municipal Airport'',,"""","LWM""= ""Lawrence Municipal Airport ""","""LWM""= ""Lawrence Municipal Airport """
LWS,Lewiston Nez Perce Co,46.3745,-117.015389,,''LWS''=''Lewiston Nez Perce Co'',,"""","LWS""= ""Lewiston Nez Perce Co ""","""LWS""= ""Lewiston Nez Perce Co """
LWT,Lewistown Municipal Airport,47.0493,-109.467,,''LWT''=''Lewistown Municipal Airport'',,"""","LWT""= ""Lewistown Municipal Airport ""","""LWT""= ""Lewistown Municipal Airport """
LXY,Mexia - Limestone County Airport,31.6411783,-96.5144594,,''LXY''=''Mexia - Limestone County Airport'',,"""","LXY""= ""Mexia - Limestone County Airport ""","""LXY""= ""Mexia - Limestone County Airport """
LYH,Lynchburg Regional Preston Glenn Field,37.3267,-79.2004,,''LYH''=''Lynchburg Regional Preston Glenn Field'',,"""","LYH""= ""Lynchburg Regional Preston Glenn Field ""","""LYH""= ""Lynchburg Regional Preston Glenn Field """
LYU,Ely Municipal,47.824444,-91.830833,,''LYU''=''Ely Municipal'',,"""","LYU""= ""Ely Municipal ""","""LYU""= ""Ely Municipal """
LZU,Gwinnett County Airport-Briscoe Field,33.9780761,-83.9623772,,''LZU''=''Gwinnett County Airport-Briscoe Field'',,"""","LZU""= ""Gwinnett County Airport-Briscoe Field ""","""LZU""= ""Gwinnett County Airport-Briscoe Field """
MAE,Madera Municipal Airport,36.9886111,-120.1124444,,''MAE''=''Madera Municipal Airport'',,"""","MAE""= ""Madera Municipal Airport ""","""MAE""= ""Madera Municipal Airport """
MAF,Midland Intl,31.942528,-102.201914,,''MAF''=''Midland Intl'',,"""","MAF""= ""Midland Intl ""","""MAF""= ""Midland Intl """
MBL,Manistee County-Blacker Airport,44.2725,-86.246944,,''MBL''=''Manistee County-Blacker Airport'',,"""","MBL""= ""Manistee County-Blacker Airport ""","""MBL""= ""Manistee County-Blacker Airport """
MBS,Mbs Intl,43.532913,-84.079647,,''MBS''=''Mbs Intl'',,"""","MBS""= ""Mbs Intl ""","""MBS""= ""Mbs Intl """
MCC,Mc Clellan Afld,38.667639,-121.400611,,''MCC''=''Mc Clellan Afld'',,"""","MCC""= ""Mc Clellan Afld ""","""MCC""= ""Mc Clellan Afld """
MCD,Mackinac Island Airport,45.8649344,-84.637344,,''MCD''=''Mackinac Island Airport'',,"""","MCD""= ""Mackinac Island Airport ""","""MCD""= ""Mackinac Island Airport """
MCE,Merced Municipal Airport,37.284722,-120.513889,,''MCE''=''Merced Municipal Airport'',,"""","MCE""= ""Merced Municipal Airport ""","""MCE""= ""Merced Municipal Airport """
MCF,Macdill Afb,27.849339,-82.521214,,''MCF''=''Macdill Afb'',,"""","MCF""= ""Macdill Afb ""","""MCF""= ""Macdill Afb """
MCG,McGrath Airport,62.9529,-155.606,,''MCG''=''McGrath Airport'',,"""","MCG""= ""McGrath Airport ""","""MCG""= ""McGrath Airport """
MCI,Kansas City Intl,39.297606,-94.713905,,''MCI''=''Kansas City Intl'',,"""","MCI""= ""Kansas City Intl ""","""MCI""= ""Kansas City Intl """
MCK,McCook Regional Airport,40.206389,-100.592222,,''MCK''=''McCook Regional Airport'',,"""","MCK""= ""McCook Regional Airport ""","""MCK""= ""McCook Regional Airport """
MCL,McKinley National Park Airport,63.732757,-148.91129,,''MCL''=''McKinley National Park Airport'',,"""","MCL""= ""McKinley National Park Airport ""","""MCL""= ""McKinley National Park Airport """
MCN,Middle Georgia Rgnl,32.69285,-83.649211,,''MCN''=''Middle Georgia Rgnl'',,"""","MCN""= ""Middle Georgia Rgnl ""","""MCN""= ""Middle Georgia Rgnl """
MCO,Orlando Intl,28.429394,-81.308994,,''MCO''=''Orlando Intl'',,"""","MCO""= ""Orlando Intl ""","""MCO""= ""Orlando Intl """
MCW,Mason City Municipal,43.2247,-93.4067,,''MCW''=''Mason City Municipal'',,"""","MCW""= ""Mason City Municipal ""","""MCW""= ""Mason City Municipal """
MDT,Harrisburg Intl,40.193494,-76.763403,,''MDT''=''Harrisburg Intl'',,"""","MDT""= ""Harrisburg Intl ""","""MDT""= ""Harrisburg Intl """
MDW,Chicago Midway Intl,41.785972,-87.752417,,''MDW''=''Chicago Midway Intl'',,"""","MDW""= ""Chicago Midway Intl ""","""MDW""= ""Chicago Midway Intl """
ME5,Banks Airport,44.1653889,-68.4281667,,''ME5''=''Banks Airport'',,"""","ME5""= ""Banks Airport ""","""ME5""= ""Banks Airport """
MEI,Key Field,32.332624,-88.751868,,''MEI''=''Key Field'',,"""","MEI""= ""Key Field ""","""MEI""= ""Key Field """
MEM,Memphis Intl,35.042417,-89.976667,,''MEM''=''Memphis Intl'',,"""","MEM""= ""Memphis Intl ""","""MEM""= ""Memphis Intl """
MER,Castle,37.380481,-120.568189,,''MER''=''Castle'',,"""","MER""= ""Castle ""","""MER""= ""Castle """
MFD,Mansfield Lahm Regional,40.8214167,-82.5166389,,''MFD''=''Mansfield Lahm Regional'',,"""","MFD""= ""Mansfield Lahm Regional ""","""MFD""= ""Mansfield Lahm Regional """
MFE,Mc Allen Miller Intl,26.175833,-98.238611,,''MFE''=''Mc Allen Miller Intl'',,"""","MFE""= ""Mc Allen Miller Intl ""","""MFE""= ""Mc Allen Miller Intl """
